Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa)
7.5,78,779.9
6,87,779.8
5.3,89,779.8
4.6,89,779.6
4.2,88,779.5
4.1,87,779.4
4.1,86,779.4
4.3,86,779.4
4.3,85,779.3
4.4,85,779.2
4.4,85,779.1
4.4,84,779
4.5,83,778.9
4.6,84,778.8
4.4,83,778.8
4.5,82,778.7
4.8,82,778.7
4.9,81,778.5
5.1,79,778.5
5.6,77,778.6
6.2,75,778.6
7,72,778.5
7.9,70,778.4
8.5,69,778.4
8.7,69,778.3
8.3,70,778.3
7.8,71,778.3
8.1,70,778.3
8.1,69,778.2
8.1,69,778.2
7.7,70,778.2
6.9,73,778.3
5.9,77,778.3
5.8,76,778.4
5.7,76,778.4
5.6,76,778.4
5.6,76,778.5
5.6,76,778.5
5.7,75,778.6
6,73,778.7
6.5,71,778.8
7,70,778.9
7.4,68,778.9
7.7,67,779
7.9,66,778.9
7.7,67,779
7.5,68,778.9
7.7,67,779
7.9,66,779
8.3,64,779.1
8.8,62,779.1
9.3,61,779.2
9.6,59,779.2
9.8,59,779.2
9.9,59,779.2
10.2,57,779.2
10.5,56,779.2
10.9,54,779.3
11.3,52,779.2
11.4,51,779.3
11.1,52,779.3
10.9,54,779.2
11.1,53,779.2
11.2,53,779.2
11.5,52,779.1
11.9,50,779
11.9,50,778.9
11.9,50,778.8
11.9,49,778.7
11.9,49,778.6
11.9,50,778.6
11.9,50,778.5
11.9,50,778.5
12.1,49,778.3
12.2,48,778.1
12.2,48,777.9
12.2,48,777.6
12.2,47,777.5
12.2,47,777.6
12.3,46,777.5
12.4,46,777.4
12.4,46,777.3
12.5,46,777.2
12.6,45,777.2
12.7,44,777.3
12.9,44,777.2
13.1,43,777
13.3,44,777
13.5,44,777
13.6,44,777.1
13.8,42,777
14.2,41,776.9
14.8,38,776.8
15,36,776.8
14.7,37,776.8
14.8,37,776.8
15,39,776.8
15.3,38,776.8
15.6,37,776.8
15.2,39,776.8
15.3,38,776.8
15.5,37,776.8
15.3,39,776.8
15.2,39,776.7
15.6,38,776.7
15.7,38,776.7
15.5,40,776.8
15.4,41,777
15.2,43,777.2
15.4,43,777.3
15.7,42,777.2
15.7,40,777.2
15.3,40,777.4
15,41,777.4
14.8,42,777.5
14.8,41,777.7
14.9,41,778.5
14.6,42,778.6
13.3,48,778.8
13,49,778.9
13,48,779
12.4,51,779.2
12.3,53,779.6
12.3,53,779.6
12,54,779.5
11.6,55,779.5
11,58,779.4
11.1,57,779.4
5.5,71,779.1
5.1,73,779.1
4.8,73,778.9
4.8,72,778.8
4.8,72,778.7
4.8,72,778.6
4.1,72,778.4
4.2,72,778.2
4.3,71,778
4.5,70,778
4.4,70,777.9
4.5,69,778
5.5,63,778
5.5,62,778.1
5.4,61,778.1
5.3,62,778.2
5.4,61,778.3
5.3,61,778.4
6.5,56,778.7
6.8,55,778.8
7.1,54,778.9
7.4,52,779.1
7.7,52,779.1
8.3,49,779.1
10.2,30,778.2
10.3,31,778.2
10.9,31,778.1
11.5,29,778.1
11.7,29,778.2
11.5,30,778.1
13.2,33,778.8
13.2,33,778.8
12.9,34,779
12.9,33,779.2
12.8,34,779.4
12.9,33,779.5
6,53,779
5.9,53,778.8
6,52,778.8
6.1,52,778.7
6,53,778.6
6.4,51,778.4
6.1,51,778.3
5.6,53,778.3
5.5,53,778.1
5.7,52,778
5.9,51,777.8
6.3,50,777.7
6.7,49,777.7
6.8,48,777.6
6.9,48,777.5
7,47,777.5
6.9,48,777.4
7.4,47,777.5
7.7,46,777.5
7.7,46,777.5
7.9,45,777.4
7.9,45,777.4
7.8,45,777.4
7.9,44,777.3
8,44,777.3
8.2,43,777.5
8.3,43,777.6
8.3,42,777.8
8.3,42,777.7
8.4,41,777.8
8.6,41,777.9
8.8,40,777.9
9,39,777.9
9,39,777.8
8.8,39,777.8
8.8,39,777.7
8.8,38,777.6
8.8,38,777.7
8.7,39,777.8
8.8,39,777.9
8.9,39,777.9
8.9,38,777.8
8.8,40,777.8
8.8,42,777.9
9,43,778
9.2,43,778.1
9.2,43,778.1
9.2,43,778.1
10,41,778.8
10.1,40,778.8
10.2,41,778.7
10.3,42,778.8
10.4,43,778.9
10.5,43,778.8
10.5,42,778.7
10.6,41,778.8
10.8,41,778.8
10.8,40,778.8
10.8,40,778.8
10.8,39,778.9
11,38,778.9
11.2,37,779
11.5,36,778.9
11.7,35,778.8
12,34,778.8
12.2,34,778.8
12.5,33,778.6
12.7,33,778.4
12.9,33,778.3
13.1,34,778.1
13.2,35,778
13.3,36,778
13.5,35,777.9
13.6,33,777.7
13.6,33,777.6
13.9,32,777.4
14.1,31,777.3
14.3,31,777.1
14.6,31,777
14.9,30,776.9
15.2,29,776.8
15.5,28,776.8
16.1,28,776.7
16.7,26,776.7
17,25,776.5
17.1,25,776.4
17.4,24,776.4
17.5,24,776.4
17.7,24,776.3
18,25,776.4
18.1,24,776.4
18.2,23,776.4
18.2,24,776.4
18.2,23,776.4
18.3,23,776.5
18.5,22,776.5
18.5,22,776.6
18.6,22,776.6
18.6,22,776.6
18.5,21,776.6
18.7,21,776.6
18.4,21,776.7
18.3,22,776.8
18.2,23,776.9
18.2,23,777
18.2,22,777.1
17.8,24,777.3
17.8,24,777.4
17.8,24,777.5
17.5,25,777.8
17.7,25,778
17.6,26,778.2
17.3,26,778.3
17,26,778.5
16.5,27,778.7
16.2,28,778.9
16.2,28,779.1
16.1,28,779.2
16.2,28,779.4
15.9,28,779.6
15.9,28,779.7
16,28,779.8
15.7,28,779.8
15.8,28,779.9
15.5,28,780
15.3,29,780
4.8,53,779.7
3.8,57,779.6
3.1,59,779.5
2.7,61,779.3
2.5,61,779.3
2.5,60,779.2
2.6,61,779.1
2.8,59,779.1
2.9,59,779.1
3,58,779.1
3.1,58,779.1
3.4,57,779.2
3.6,57,779.2
3.8,57,779
4,56,778.9
4.3,54,778.9
4.6,53,778.9
5,52,779
5.7,50,778.9
6.2,47,778.9
6.9,46,779
7.7,44,779
8.6,41,779
9.5,39,778.9
10.2,37,778.8
10.6,36,778.8
10.6,35,778.8
10.6,35,778.9
10.8,35,779
10.8,35,779
10.8,34,779.1
10.9,34,779.1
10.8,33,779.2
10.8,33,779.2
10.8,33,779.2
11,33,779.2
11,32,779.3
10.9,32,779.3
11,32,779.2
11.2,32,779.3
11.3,32,779.3
11.4,32,779.3
11.3,32,779.4
10.9,32,779.3
10,34,779.4
9.4,35,779.4
9.5,35,779.4
9.8,33,779.5
11.3,27,779.8
11.3,27,779.8
11.1,27,779.8
10.9,26,779.9
10.5,27,779.9
10.6,26,780
10.6,26,780
10.4,27,779.9
10.5,26,779.9
10.6,26,779.9
10.5,26,779.8
10.5,26,779.8
10.4,25,779.4
10.8,24,779.2
11.3,23,779.1
12.1,22,779.1
12.9,21,779.1
13.5,19,779.1
14,18,779
14.6,18,778.9
15.5,16,778.8
16.4,14,778.7
17.3,13,778.7
17.8,12,778.7
19.3,11,779
19.2,15,779
19.3,15,779.1
19.5,15,779.2
19.5,14,779.4
19.5,14,779.5
19.2,14,779.7
19,14,779.8
19.1,14,780
18.6,13,780.1
19,14,780.3
19.4,16,780.5
19.1,16,780.6
19,15,780.9
18.8,14,781.2
18.3,14,781.4
18,16,781.7
17.5,17,781.9
17.3,17,782
17.4,20,782.2
17.1,23,782.4
16.9,26,782.5
16.3,29,782.6
15.6,31,782.7
15.3,33,782.9
15.1,35,783
14.6,38,783
13.9,41,783.1
13.4,43,783.1
12.9,45,783.2
12.5,47,783.3
11.9,48,783.3
11.2,49,783.3
10.9,49,783.3
10.2,53,783.3
9.4,57,783.3
9.1,59,783.2
8.3,62,783.1
7.7,61,783.1
6.3,54,783.1
4,57,783
2.1,63,782.9
1,73,782.9
0.5,78,782.8
0.1,79,782.7
-0.2,78,782.6
-0.5,75,782.6
-0.4,74,782.5
-0.1,73,782.5
0.2,71,782.5
0.3,69,782.5
0.3,63,782.6
0.2,61,782.5
0.2,59,782.5
0.4,59,782.4
0.4,58,782.4
0.5,58,782.4
0.6,58,782.2
0.7,57,782.2
0.8,57,782.2
1,56,782.1
1.2,55,782.1
1.3,55,782.2
1.5,54,782.1
1.6,54,782.1
1.6,54,782
1.6,53,782
1.7,53,782.1
2,52,782.2
2.1,52,782.2
2.4,50,782.2
2.7,49,782.1
3,48,782.1
3.2,48,782.1
3.6,48,782
4,46,782
4.2,45,782.1
4.3,44,782.2
4.3,44,782.2
4.3,44,782.3
4.6,43,782.3
5.1,41,782.3
5.4,40,782.3
5.7,39,782.3
5.9,38,782.2
5.9,38,782.2
6,38,782.3
6.2,38,782.3
6.4,38,782.3
6.8,38,782.2
6.9,38,782.2
6.8,38,782.2
6.9,38,782.3
7.1,37,782.3
7.4,35,782.3
7.7,34,782.4
8,33,782.4
8.3,32,782.4
8.6,32,782.3
9,31,782.3
9.1,30,782.1
9.2,29,782
9.1,29,781.9
9.1,29,781.9
9.2,30,781.8
9.3,30,781.8
9.3,30,781.7
8.6,31,781.7
8.2,33,781.6
8.5,33,781.4
8.6,32,781.3
8.7,33,781.3
8.8,33,781.2
9,32,781.1
9.4,30,781
9.6,30,780.9
9.6,31,780.8
9.9,31,780.7
10.4,30,780.6
10.8,30,780.5
11,30,780.5
11.3,30,780.4
11.9,29,780.3
12.7,28,780.2
13.3,27,780.1
13.7,26,780
14.1,25,779.9
14.5,24,779.8
15,24,779.7
15.6,23,779.6
16.4,22,779.5
16.8,21,779.4
17.2,21,779.3
17.7,21,779.2
18,21,779.1
18.3,21,779
18.5,17,778.9
18.6,15,778.9
18.7,15,778.8
18.4,15,778.7
18.4,16,778.7
18.6,15,778.8
18.7,15,778.8
18.8,16,778.8
19.2,16,778.9
19.2,14,778.8
19.3,14,778.8
19.1,16,778.8
19.1,15,778.9
19,15,778.9
18.6,17,779
19.2,16,779
18.6,17,779.1
18.9,16,779.1
19,15,779.2
18.3,15,779.4
18,16,779.6
18,16,779.8
18.1,18,780
17.8,19,780.1
17.9,20,780.3
17.8,21,780.4
17.6,23,780.5
17,24,780.6
16.9,27,780.8
16.7,28,781
16.3,29,781
16,30,781.1
16.1,32,781
15.9,33,781.1
15.8,35,781.2
15.6,37,781.2
14.6,41,781.2
13.8,44,781.3
13.3,47,781.4
12.4,50,781.3
11.4,53,781.3
10.6,56,781.3
10.1,58,781.3
9.3,60,781.4
8.4,63,781.3
7.6,67,781.3
6.2,76,781.3
4.7,81,781.3
3.5,89,781.3
2.6,92,781.2
2,93,781.1
1.8,93,780.9
1.5,93,780.8
1.4,94,780.6
1.2,93,780.6
1.3,93,780.4
1.2,93,780.4
1.2,94,780.4
1.2,94,780.3
1.1,94,780.3
1.1,94,780.3
0.9,93,780.3
0.8,93,780.2
0.8,93,780.1
0.8,93,780.1
0.7,93,780.1
0.6,93,780.1
0.5,93,780
0.3,93,779.9
0.5,93,779.9
0.8,93,779.8
1,93,779.7
1.1,93,779.7
1.3,93,779.7
1.4,93,779.7
1.7,93,779.7
1.9,93,779.7
2,94,779.8
2.3,94,779.9
2.4,95,779.9
2.6,95,779.9
2.8,95,779.8
2.8,95,779.9
2.6,95,780
2,94,780
1.7,94,780.1
1.6,93,780.2
1.8,93,780.3
2.2,93,780.4
2.6,94,780.5
2.7,94,780.5
2.7,94,780.5
2.7,93,780.6
2.7,93,780.7
2.8,93,780.8
2.8,92,780.8
2.5,91,780.8
2.4,90,780.8
2.2,89,780.9
2.2,88,780.9
2.3,87,781
2.5,87,781
2.7,86,781
3,86,780.9
2.9,85,780.9
3.2,83,780.9
3.4,83,780.9
3.6,82,780.8
3.7,82,780.8
3.8,82,780.9
4,80,780.9
4.2,79,780.9
4.5,77,780.9
4.8,77,780.9
5,76,780.9
5,76,780.8
5.1,74,780.7
5.3,74,780.7
5.4,72,780.5
5.5,72,780.4
5.6,71,780.3
5.8,70,780.2
5.9,69,780.2
6.3,67,780.2
6.6,66,780.1
7.1,63,780.1
7.6,61,780
8,59,780
8.1,59,779.8
8.4,58,779.6
8.8,57,779.6
9.2,56,779.4
9.6,54,779.4
10,53,779.3
10.3,52,779.3
10.7,51,779.2
11.1,49,779.2
11.7,47,779.1
12.2,45,779
12.6,45,779
13,44,778.9
13.2,43,778.9
13.3,43,778.8
13.4,43,778.8
13.5,43,778.9
13.7,43,778.9
13.6,44,778.9
13.6,44,778.9
13.7,44,778.9
13.6,44,779
13.6,45,779
13.5,45,779
13.6,45,779.1
13.6,46,779.1
13.4,45,779.2
13.1,47,779.3
12.8,48,779.4
12.2,49,779.5
11.8,50,779.5
11.8,50,779.6
11.5,51,779.7
11,52,779.9
10.1,55,780
9.6,57,780.2
5.8,73,781.4
5.5,75,781.5
5.1,77,781.7
4.9,79,781.8
4.9,78,781.9
4.6,80,781.9
4.3,82,782
4.2,84,782
4,83,782.1
3.9,84,782
3.8,87,782
3.5,91,782
3.2,94,781.9
2.8,94,781.8
2.7,95,781.8
2.4,95,781.8
2.2,95,781.8
2.3,95,781.7
2.2,95,781.6
2,95,781.5
1.7,94,781.4
1.5,94,781.3
1.4,94,781.2
1.3,94,781.1
1.2,93,781
1.2,93,780.9
1.1,93,780.7
1.1,93,780.6
1,93,780.5
1,92,780.3
0.9,92,780.3
0.7,91,780.2
0.5,91,780.2
0.3,90,780.2
0.2,89,780.1
0.2,89,780
0.3,89,779.9
0.4,89,779.8
0.6,89,779.7
0.7,88,779.6
0.7,88,779.5
0.7,87,779.4
0.7,86,779.4
0.9,85,779.4
1.1,85,779.4
1.2,83,779.3
1.4,80,779.4
1.8,78,779.4
2.2,76,779.3
2.3,75,779.2
2.5,75,779.1
2.7,75,779.1
3,74,779.1
3.2,74,779.1
3.5,74,779.1
3.6,73,779.1
3.5,72,779
3.5,72,778.9
3.4,72,778.9
3.5,71,779
3.7,70,779
3.9,69,779.1
4,69,779.1
4.1,69,779.1
4.2,69,779.2
4.2,68,779.3
4.5,66,779.2
4.8,64,779.2
5.2,62,779.3
5.4,61,779.3
5.7,60,779.3
5.9,59,779.3
6.1,58,779.3
6.4,56,779.4
6.7,54,779.4
6.9,53,779.4
7.2,51,779.5
7.4,52,779.6
7.8,52,779.5
8.4,50,779.6
9.4,48,779.7
10.7,44,779.6
12,40,779.6
12.5,42,779.5
12.7,40,779.4
12.7,39,779.4
12.8,36,779.4
13,34,779.4
13.1,34,779.3
13.4,34,779.2
13.4,34,779.1
13.5,33,779.1
13.7,33,779.1
13.9,32,779
14,31,778.9
14.1,31,778.8
14.2,30,778.8
14.5,30,778.8
14.6,29,778.8
14.9,29,778.7
15,28,778.5
15,28,778.4
15.2,27,778.4
15.4,27,778.4
15.5,28,778.3
15.7,29,778.3
16,28,778.3
16.2,27,778.2
16.4,27,778.1
16.7,27,778
16.9,26,777.9
17.3,25,777.9
17.8,25,777.9
18.1,23,777.8
18.2,23,777.8
18.5,22,777.7
19.2,22,777.6
19,21,777.6
18.9,21,777.5
19.2,20,777.5
19.1,21,777.5
19.2,21,777.5
19,22,777.5
19.5,22,777.5
20,21,777.4
20.6,20,777.5
20.4,20,777.5
20.5,20,777.5
20.4,19,777.6
20.3,19,777.7
20.5,19,777.8
20.2,20,777.9
20,20,777.9
19.8,21,778.1
19.7,21,778.3
19.6,21,778.5
19.5,21,778.7
19.3,20,778.9
19.2,22,779
19.3,24,779.2
18.9,25,779.2
19.1,25,779.4
19.1,25,779.6
18.7,26,779.8
18.5,26,780.1
18.4,25,780.3
18.4,25,780.5
17.8,26,780.6
17.6,28,780.7
18.2,26,780.8
17.5,27,780.9
16.6,28,781
16.4,28,781.1
16.7,27,781.1
16.9,26,781.2
17.1,26,781.2
17,26,781.3
17.3,26,781.3
17.1,28,781.4
16.5,28,781.4
16.1,29,781.3
15.5,30,781.3
15.2,31,781.3
14.6,34,781.3
13.7,36,781.2
12.6,37,781.2
11.2,40,781.1
9.8,44,781
8.7,47,781
8.2,49,780.8
8,49,780.8
7.8,50,780.8
7.5,51,780.7
7.2,51,780.7
6.9,53,780.7
6.8,54,780.6
6.9,54,780.4
7.1,52,780.3
7,53,780.3
6.9,53,780.2
6.7,54,780.2
6.4,56,780.2
6.5,56,780.2
6.5,56,780.1
6.3,57,780
6.3,56,779.9
5.7,59,779.9
5.8,59,779.9
6,58,779.9
6.3,57,779.9
6.5,57,779.9
6.7,57,779.9
6.9,56,779.9
7.3,55,779.9
7.9,52,780
8.1,51,780.1
7.7,52,780.1
7.3,54,780.2
7.4,54,780.1
7.5,53,780.2
7.7,53,780.2
7.8,52,780.2
8.1,52,780.2
8.3,51,780.3
8.9,48,780.4
9,48,780.3
9.3,47,780.3
9.7,45,780.4
10.2,44,780.5
10.8,42,780.5
14.7,31,780.2
14.7,30,780.1
14.7,30,780.1
14.9,30,780.1
15.1,30,780.1
15.2,29,780
15.5,29,779.9
15.8,28,779.8
15.9,28,779.7
16,27,779.6
16.1,27,779.5
16.2,27,779.4
16.4,26,779.3
16.6,26,779.2
16.5,25,779.2
16.6,23,779.1
16.9,22,779
17.2,21,778.9
17.4,20,778.9
17.6,21,778.8
17.9,21,778.7
18.2,20,778.6
18.7,19,778.5
19.4,19,778.4
19.6,19,778.3
19.9,18,778.3
19.9,18,778.2
19.7,17,778.2
20.4,16,778.2
20.7,15,778.2
21.1,15,778.2
21.1,14,778.2
21.1,14,778.2
21.3,14,778.2
21.6,13,778.3
21.4,13,778.4
21.2,14,778.4
21.5,14,778.4
21,15,778.4
21.1,14,778.5
20.9,15,778.6
21.1,16,778.7
21.4,15,778.8
21.6,16,778.9
22.1,17,778.9
22.2,18,779
22,19,779.2
21.5,19,779.3
19.6,24,780.7
19.5,24,780.9
19.5,25,781.1
19.3,25,781.2
18.7,25,781.4
18.1,27,781.6
17.8,28,781.7
17.6,28,781.8
17.2,29,781.8
16.7,30,781.9
16.5,30,781.9
16.6,28,781.9
16.3,28,782
16,29,781.9
15.4,29,781.8
14.9,29,781.8
14.7,29,781.8
14.3,28,781.8
6.9,33,781
5.9,34,780.9
5.2,35,780.8
4.1,37,780.7
3.6,38,780.7
3.4,38,780.6
3.5,38,780.5
4,37,780.4
4.3,35,780.2
4.5,33,780.2
4.4,32,780.1
4,33,780.1
3.6,34,780.1
3.8,34,780.1
4.5,33,780.1
5.8,31,780
7.2,26,779.9
7.4,25,779.8
8.6,22,779.7
8.7,21,779.8
8.9,21,779.7
8.9,20,779.7
8.6,21,779.7
8.5,21,779.7
8.2,22,779.7
7.6,23,779.7
6.9,25,779.8
6.6,25,779.8
6.8,24,779.9
7,24,779.9
6.7,24,779.9
6.2,26,779.9
6.4,25,779.9
6.8,24,779.9
7.3,23,779.8
7.9,22,779.9
11.6,15,780
11.8,16,780
11.9,16,779.9
12,15,779.9
12,16,780
12,16,780
12.1,15,780
12.1,16,780
12.4,15,780
12.6,15,780
12.6,15,780
12.7,15,780
12.9,15,780
13,15,780
13.3,14,779.9
13.7,14,779.9
13.9,13,779.8
13.7,14,779.8
13.7,14,779.7
13.7,14,779.7
13.6,14,779.6
13.8,13,779.6
14,13,779.6
13.9,13,779.5
13.8,14,779.4
13.8,14,779.3
13.9,14,779.3
14.1,14,779.1
14.3,14,779
14.6,13,779
14.5,13,778.9
14.8,13,778.7
15,12,778.6
15.2,12,778.5
15.7,12,778.4
16,11,778.4
16.4,11,778.3
17.1,10,778.2
17.8,9,778.1
18.4,9,778
19.3,8,777.9
19.9,8,777.8
20.6,8,777.5
20.6,9,777.5
20.8,9,777.4
21.1,9,777.4
21,8,777.5
21.1,9,777.4
21.3,9,777.4
21.4,10,777.5
21.7,9,777.5
21.6,10,777.5
21.2,10,777.6
21.2,11,777.7
21.2,10,777.7
21.1,11,777.8
20.8,10,777.9
20.5,10,778.1
20.7,10,778.2
20.6,12,778.3
19.2,13,779.5
18.8,14,779.6
18.5,15,779.7
18.2,15,779.7
18.2,15,779.7
18.1,16,779.9
17.7,16,780.1
17.6,15,780.1
17.3,15,780.3
17.3,16,780.4
17.4,14,780.5
16.9,15,780.6
16.5,17,780.6
16.1,18,780.6
15.7,20,780.6
15.4,21,780.6
15.5,23,780.6
15.2,24,780.5
14.8,23,780.5
14.5,21,780.4
13.9,23,780.3
12.7,29,780.1
11.4,36,780
9.6,41,780
8.4,44,779.9
7.7,47,779.9
7.4,48,779.8
7.3,49,779.8
7.4,48,779.7
7.5,48,779.5
7.7,47,779.5
8.2,46,779.4
8.6,44,779.3
8.6,45,779.2
8.6,45,779.1
8.5,47,779.1
9,46,779.1
9.4,44,779
9.5,43,778.9
9.2,45,778.9
9.4,45,778.8
9.8,44,778.7
10.1,43,778.6
10.4,41,778.4
10.6,41,778.3
11.3,40,778.3
11.9,36,778.2
12.2,35,778.1
12.4,35,778.1
12.3,35,778
12.1,35,777.9
11.6,36,778
11.1,39,778
11.2,38,778.1
11.4,38,778.1
12.1,35,778.1
12.6,32,778.1
12.5,31,778.1
12.5,31,778.2
12.6,30,778.3
12.6,30,778.5
12.7,31,778.6
12.6,31,778.7
12.7,31,778.7
12.8,31,778.7
13,30,778.8
13,30,778.8
12.9,31,778.9
12.8,33,778.9
12.8,33,778.9
12.7,34,779
12.4,35,779
12.2,36,779.1
12.2,36,779.2
12.4,36,779.2
12.9,36,779.3
13.4,33,779.3
13.5,32,779.3
13.5,33,779.3
13.7,31,779.3
14,31,779.2
14.1,30,779.2
14.3,30,779.1
14.5,30,778.9
14.6,29,778.8
14.7,29,778.7
14.7,29,778.6
14.9,29,778.7
14.9,28,778.6
15,28,778.6
15.2,28,778.5
15.2,28,778.5
15.3,27,778.4
15.2,28,778.4
15.4,29,778.3
15.5,30,778.2
15.6,30,778.1
15.6,30,778.1
15.7,31,778.1
15.8,30,778
15.9,30,777.9
16.1,29,777.9
16.2,29,777.8
16.3,28,777.7
16.4,28,777.7
16.4,28,777.7
16.5,27,777.7
16.7,26,777.7
17,25,777.7
17.2,25,777.5
17.5,24,777.5
17.7,23,777.4
17.9,22,777.4
18.1,21,777.4
18.4,21,777.3
18.4,19,777.2
18.4,19,777.2
18.7,18,777.2
19.2,19,777.1
19.1,20,777.1
18.9,19,777.1
18.8,18,777.1
19,18,777.1
19.6,20,777.1
19.3,21,777.1
19.4,22,777.2
18.9,24,777.2
19,24,777.2
19.3,24,777.2
18.9,24,777.2
18.9,25,777.3
19.2,24,777.4
18.6,26,777.4
18.2,26,777.5
18.2,26,777.6
18.5,26,777.6
19,25,777.8
18.8,25,777.9
19,24,778
19,23,778.2
18.9,23,778.3
19.2,23,778.4
19.5,22,778.5
19.7,22,778.6
19.7,22,778.8
19.5,22,778.9
19.2,22,779.1
19.4,22,779.2
19.3,21,779.4
18.7,22,779.5
18.4,24,779.6
18.5,24,779.8
18.2,24,779.9
18,25,779.9
18.1,26,780
17.4,30,780
16.6,34,780.1
15.4,37,780.2
14,40,780.3
12.7,44,780.4
11.4,47,780.4
10.3,50,780.4
9.7,52,780.4
9.2,54,780.3
8.7,55,780.3
8.2,56,780.2
7.8,57,780.1
7.4,58,780
7.3,58,780
7.3,59,780
7.1,59,779.8
7.1,59,779.6
6.8,60,779.6
6.8,61,779.5
6.8,60,779.5
6.8,60,779.6
6.8,60,779.5
6.9,60,779.5
6.9,60,779.4
7.1,60,779.4
7.2,59,779.3
7.3,58,779.3
7.3,59,779.3
7.2,59,779.3
7,60,779.3
6.9,60,779.3
6.6,62,779.4
6.5,62,779.4
6.5,63,779.4
6.7,62,779.4
6.8,61,779.4
6.9,61,779.4
6.9,61,779.4
6.9,61,779.4
6.9,61,779.4
7.1,60,779.5
7.3,59,779.5
7.5,59,779.4
7.8,57,779.5
8.1,56,779.5
8.2,56,779.4
8.4,55,779.4
8.5,54,779.5
8.7,53,779.7
8.8,53,779.8
8.6,54,779.8
8.5,55,779.9
8.3,56,779.9
8.3,57,780.2
8.4,57,780.3
8.5,56,780.3
8.4,56,780.3
8.3,57,780.4
8.3,57,780.4
8.1,58,780.4
8,59,780.5
8.1,57,780.7
8.2,56,780.8
8,57,780.9
7.9,58,781.1
7.7,60,781.1
7.5,61,781.2
7.4,62,781.1
7.6,61,781.3
7.8,60,781.5
8.1,59,781.5
8.3,58,781.5
8.7,57,781.5
8.8,56,781.6
8.7,57,781.6
8.7,58,781.6
8.9,58,781.5
9.3,57,781.5
9.6,56,781.5
9.9,55,781.5
10.1,54,781.5
10.5,53,781.4
10.7,52,781.3
10.8,52,781.3
11.1,50,781.2
11.6,48,781.1
12.2,46,781
12.6,44,780.9
12.7,41,780.8
12.9,37,780.7
13,30,780.5
13.2,24,780.5
13.6,21,780.4
13.8,20,780.3
14.2,19,780
14.9,18,780
15.4,18,780
15.9,17,780
16.4,17,780
16.9,15,779.9
17.5,15,779.9
18.3,14,779.9
19,13,779.8
19.4,12,779.7
19.6,12,779.7
19.8,12,779.8
19.9,12,779.9
20.1,11,779.9
20.2,11,779.8
20.1,11,779.8
20.2,11,779.7
20.2,12,779.7
20.3,13,779.7
20.3,13,779.8
20.6,13,779.8
20.5,13,779.9
20.7,13,780
20.7,13,780.1
20.9,13,780.1
20.8,13,780.1
20.7,13,780.3
20.3,13,780.4
20.3,13,780.5
20.3,13,780.6
20.3,13,780.7
20.3,13,780.9
20.1,13,781
20.1,14,781.2
19.9,14,781.3
19.7,14,781.5
19.5,15,781.7
19.3,17,781.8
18.6,18,782
18.3,18,782.1
17.9,19,782.3
17.4,20,782.4
17,20,782.5
16.9,21,782.7
16.5,21,782.8
16.1,22,782.8
15.6,24,783
15.6,24,783
15.1,25,783.1
14.7,25,783.2
14.7,26,783.3
14.6,25,783.4
14.1,26,783.3
13.7,27,783.2
13.1,28,783.2
12.9,29,783.3
12.7,29,783.1
12.3,29,783
11.7,30,782.8
11.1,30,782.7
9.7,32,782.6
8.3,35,782.5
7.7,36,782.5
7.2,36,782.3
6.4,39,782.1
5.5,45,782
4.9,49,781.7
4.4,50,781.6
3.9,51,781.5
3.7,50,781.5
3.6,51,781.5
3.7,51,781.4
4.1,51,781.3
4.5,50,781.2
4.8,49,781.1
5.4,48,781
6.1,47,780.9
7,44,780.8
7.5,43,780.8
7.7,43,780.7
7.6,42,780.6
7.4,42,780.5
7.1,42,780.5
6.8,42,780.4
6.5,42,780.4
6.1,42,780.4
5.9,42,780.3
5.7,41,780.3
6,40,780.3
6.1,39,780.2
6.5,38,780.2
7.2,36,780.2
7.5,35,780.1
7.8,35,780.1
7.8,34,780.1
7.6,34,780.2
7.5,34,780.2
7.4,34,780.2
7.8,33,780.2
8.4,32,780
9,31,780.1
9.3,30,780.2
8.6,32,780.2
8.2,34,780.3
8.5,33,780.4
9.1,32,780.4
9.6,31,780.3
9.6,31,780.4
9.4,31,780.5
9.4,31,780.5
9,32,780.6
9,32,780.7
9.3,31,780.7
9.3,31,780.8
9.6,31,780.8
10.6,29,780.9
11.2,27,780.8
11.2,26,780.8
10.2,28,780.7
8.9,31,780.7
8.2,33,780.7
8.5,33,780.7
9.2,32,780.7
10.1,30,780.6
11.2,28,780.6
12.5,25,780.5
13.2,23,780.4
13.4,22,780.4
12.8,23,780.4
11.7,25,780.4
11.9,25,780.4
12.8,24,780.4
13.5,23,780.3
13.9,22,780.3
14,22,780.2
14.7,20,780.1
15.2,19,779.9
15.2,19,779.8
14.8,19,779.8
14.9,19,779.7
14.8,19,779.7
14.4,20,779.5
14.5,20,779.5
14.8,20,779.4
15.6,19,779.3
16.5,17,779.1
17.1,16,779
17.6,16,778.9
17.9,15,778.8
18.3,15,778.8
18.9,15,778.7
19.6,14,778.7
20.1,12,778.6
20.5,12,778.5
20.7,11,778.4
20.9,10,778.3
21,10,778.2
21.1,10,778.2
21.2,10,778.2
21.3,10,778.2
21.4,10,778.1
21.5,9,778.1
21.6,9,778
21.6,8,778
21.6,8,778
21.9,8,778
21.9,9,778
21.7,10,778.1
